Run Model Entity Position Sim
6 4 en.wikipedia.org/wiki..Themistocles.txt 60 0.84
6 4 en.wikipedia.org/wiki..Thespiae.txt 125 0.78
6 4 en.wikipedia.org/wiki..Sparta.txt 170 0.737
6 4 en.wikipedia.org/wiki..Battle_of_Marathon.txt 2 0.941
6 4 en.wikipedia.org/wiki..Darius_I.txt 72 0.827
6 4 en.wikipedia.org/wiki..Leonidas_I.txt 12 0.904
6 4 en.wikipedia.org/wiki..Xerxes_I.txt 35 0.866
6 4 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 28 0.873
6 4 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 15 0.9
1 5 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 5 0.904
1 5 en.wikipedia.org/wiki..Themistocles.txt 39 0.848
1 5 en.wikipedia.org/wiki..Thespiae.txt 108 0.781
1 5 en.wikipedia.org/wiki..Sparta.txt 249 0.657
1 5 en.wikipedia.org/wiki..Battle_of_Marathon.txt 9 0.892
1 5 en.wikipedia.org/wiki..Darius_I.txt 161 0.738
1 5 en.wikipedia.org/wiki..Leonidas_I.txt 16 0.88
1 5 en.wikipedia.org/wiki..Xerxes_I.txt 55 0.833
1 5 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 54 0.834
1 5 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 11 0.889
2 5 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 7 0.925
2 5 en.wikipedia.org/wiki..Themistocles.txt 41 0.869
2 5 en.wikipedia.org/wiki..Thespiae.txt 186 0.731
2 5 en.wikipedia.org/wiki..Sparta.txt 200 0.718
2 5 en.wikipedia.org/wiki..Battle_of_Marathon.txt 6 0.929
2 5 en.wikipedia.org/wiki..Darius_I.txt 98 0.814
2 5 en.wikipedia.org/wiki..Leonidas_I.txt 19 0.9
2 5 en.wikipedia.org/wiki..Xerxes_I.txt 48 0.862
2 5 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 49 0.861
2 5 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 11 0.915
3 5 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 6 0.927
3 5 en.wikipedia.org/wiki..Themistocles.txt 31 0.879
3 5 en.wikipedia.org/wiki..Thespiae.txt 176 0.741
3 5 en.wikipedia.org/wiki..Sparta.txt 202 0.709
3 5 en.wikipedia.org/wiki..Battle_of_Marathon.txt 1 0.944
3 5 en.wikipedia.org/wiki..Darius_I.txt 86 0.816
3 5 en.wikipedia.org/wiki..Leonidas_I.txt 12 0.908
3 5 en.wikipedia.org/wiki..Xerxes_I.txt 61 0.847
3 5 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 77 0.828
3 5 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 13 0.904
4 5 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 3 0.917
4 5 en.wikipedia.org/wiki..Themistocles.txt 52 0.847
4 5 en.wikipedia.org/wiki..Thespiae.txt 137 0.778
4 5 en.wikipedia.org/wiki..Sparta.txt 213 0.708
4 5 en.wikipedia.org/wiki..Battle_of_Marathon.txt 10 0.899
4 5 en.wikipedia.org/wiki..Darius_I.txt 106 0.804
4 5 en.wikipedia.org/wiki..Leonidas_I.txt 21 0.888
4 5 en.wikipedia.org/wiki..Xerxes_I.txt 35 0.864
4 5 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 51 0.849
4 5 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 14 0.895
5 5 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 4 0.934
5 5 en.wikipedia.org/wiki..Themistocles.txt 58 0.84
5 5 en.wikipedia.org/wiki..Thespiae.txt 124 0.775
5 5 en.wikipedia.org/wiki..Sparta.txt 194 0.715
5 5 en.wikipedia.org/wiki..Battle_of_Marathon.txt 7 0.923
5 5 en.wikipedia.org/wiki..Darius_I.txt 86 0.808
5 5 en.wikipedia.org/wiki..Leonidas_I.txt 19 0.886
5 5 en.wikipedia.org/wiki..Xerxes_I.txt 45 0.85
5 5 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 40 0.856
5 5 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 8 0.916
6 5 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 1 0.937
6 5 en.wikipedia.org/wiki..Themistocles.txt 61 0.835
6 5 en.wikipedia.org/wiki..Thespiae.txt 127 0.776
6 5 en.wikipedia.org/wiki..Sparta.txt 233 0.677
6 5 en.wikipedia.org/wiki..Battle_of_Marathon.txt 7 0.923
6 5 en.wikipedia.org/wiki..Darius_I.txt 76 0.824
6 5 en.wikipedia.org/wiki..Leonidas_I.txt 14 0.898
6 5 en.wikipedia.org/wiki..Xerxes_I.txt 60 0.838
6 5 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 53 0.846
6 5 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 10 0.902
1 6 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 7 0.911
1 6 en.wikipedia.org/wiki..Themistocles.txt 33 0.874
1 6 en.wikipedia.org/wiki..Thespiae.txt 160 0.745
1 6 en.wikipedia.org/wiki..Sparta.txt 249 0.673
1 6 en.wikipedia.org/wiki..Battle_of_Marathon.txt 6 0.92
1 6 en.wikipedia.org/wiki..Darius_I.txt 103 0.8
1 6 en.wikipedia.org/wiki..Leonidas_I.txt 14 0.895
1 6 en.wikipedia.org/wiki..Xerxes_I.txt 55 0.844
1 6 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 47 0.855
1 6 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 11 0.904
2 6 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 3 0.931
2 6 en.wikipedia.org/wiki..Themistocles.txt 37 0.865
2 6 en.wikipedia.org/wiki..Thespiae.txt 125 0.786
2 6 en.wikipedia.org/wiki..Sparta.txt 208 0.711
2 6 en.wikipedia.org/wiki..Battle_of_Marathon.txt 11 0.907
2 6 en.wikipedia.org/wiki..Darius_I.txt 116 0.794
2 6 en.wikipedia.org/wiki..Leonidas_I.txt 7 0.914
2 6 en.wikipedia.org/wiki..Xerxes_I.txt 61 0.834
2 6 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 50 0.852
2 6 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 13 0.905
3 6 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 7 0.924
3 6 en.wikipedia.org/wiki..Themistocles.txt 35 0.868
3 6 en.wikipedia.org/wiki..Thespiae.txt 122 0.776
3 6 en.wikipedia.org/wiki..Sparta.txt 220 0.698
3 6 en.wikipedia.org/wiki..Battle_of_Marathon.txt 6 0.927
3 6 en.wikipedia.org/wiki..Darius_I.txt 111 0.787
3 6 en.wikipedia.org/wiki..Leonidas_I.txt 20 0.886
3 6 en.wikipedia.org/wiki..Xerxes_I.txt 47 0.85
3 6 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 63 0.832
3 6 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 8 0.917
4 6 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 7 0.934
4 6 en.wikipedia.org/wiki..Themistocles.txt 30 0.884
4 6 en.wikipedia.org/wiki..Thespiae.txt 167 0.752
4 6 en.wikipedia.org/wiki..Sparta.txt 225 0.704
4 6 en.wikipedia.org/wiki..Battle_of_Marathon.txt 4 0.94
4 6 en.wikipedia.org/wiki..Darius_I.txt 89 0.815
4 6 en.wikipedia.org/wiki..Leonidas_I.txt 17 0.908
4 6 en.wikipedia.org/wiki..Xerxes_I.txt 51 0.86
4 6 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 60 0.853
4 6 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 10 0.923
5 6 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 7 0.933
5 6 en.wikipedia.org/wiki..Themistocles.txt 47 0.874
5 6 en.wikipedia.org/wiki..Thespiae.txt 140 0.786
5 6 en.wikipedia.org/wiki..Sparta.txt 209 0.725
5 6 en.wikipedia.org/wiki..Battle_of_Marathon.txt 8 0.933
5 6 en.wikipedia.org/wiki..Darius_I.txt 75 0.841
5 6 en.wikipedia.org/wiki..Leonidas_I.txt 19 0.906
5 6 en.wikipedia.org/wiki..Xerxes_I.txt 43 0.877
5 6 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 49 0.869
5 6 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 9 0.925
6 6 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 7 0.935
6 6 en.wikipedia.org/wiki..Themistocles.txt 38 0.879
6 6 en.wikipedia.org/wiki..Thespiae.txt 142 0.787
6 6 en.wikipedia.org/wiki..Sparta.txt 222 0.715
6 6 en.wikipedia.org/wiki..Battle_of_Marathon.txt 9 0.923
6 6 en.wikipedia.org/wiki..Darius_I.txt 76 0.84
6 6 en.wikipedia.org/wiki..Leonidas_I.txt 18 0.904
6 6 en.wikipedia.org/wiki..Xerxes_I.txt 32 0.889
6 6 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 64 0.847
6 6 en.wikipedia.org/wiki..Battle_of_Artemisium.txt 13 0.917
1 7 en.wikipedia.org/wiki..Battle_of_Thermopylae.txt 6 0.931
1 7 en.wikipedia.org/wiki..Themistocles.txt 45 0.866
1 7 en.wikipedia.org/wiki..Thespiae.txt 96 0.809
1 7 en.wikipedia.org/wiki..Sparta.txt 231 0.703
1 7 en.wikipedia.org/wiki..Battle_of_Marathon.txt 9 0.922
1 7 en.wikipedia.org/wiki..Darius_I.txt 74 0.835
1 7 en.wikipedia.org/wiki..Leonidas_I.txt 19 0.898
1 7 en.wikipedia.org/wiki..Xerxes_I.txt 29 0.884
1 7 en.wikipedia.org/wiki..Ephialtes_of_Trachis.txt 61 0.845
